timestamp,encoderR,encoderL
31152908,18258.67,23208.54
31162913,18298.23,23317.5
31173085,18341.8,23352.17
31182971,18381.86,23385.81
31192969,18425.42,23419.46
31202991,18461.34,23453.09
31213038,18509.36,23486.75
31222906,18548.85,23524.5
31232902,18593.62,23553.34
31242895,18633.69,23661.13
31253065,18678.59,23692.37
31262901,18720.27,23723.26
31272906,18764.98,23756.34
31282897,18802.61,23786.87
31292901,18844.13,23815.49
31303233,18888.69,23850.25
31312899,18931.21,23885.68
31322962,18969.67,23913.48
31332970,19010.86,24020.97
31342954,19048.58,24050.78
31352915,19092.0,24087.03
31364011,19136.54,24119.02
31373009,19175.74,24150.31
31382919,19215.7,24182.86
31392923,19261.99,24218.84
31402918,19307.24,24250.96
31412981,19347.22,24280.42
31422925,19392.28,24385.46
31432956,19433.78,24417.93
31443070,19479.53,24453.16
31452890,19518.3,24484.46
31462938,19560.94,24516.78
31472985,19607.56,24551.2
31482910,19653.62,24585.44
31492909,19695.94,24620.1
31502930,19741.66,24649.14
31513556,19779.23,24752.13
31522941,19830.15,24788.31
31532969,19870.88,24820.65
31542942,19912.92,24853.74
31552930,19958.05,24886.69
31562901,20000.41,24920.29
31572912,20038.48,24959.74
31582938,20078.81,24994.94
31592901,20114.04,25104.08
31602912,20149.84,25143.23
31612918,20187.3,25182.92
31622900,20219.07,25224.07
31632933,20251.52,25266.38
31642955,20280.42,25310.09
31652968,20320.5,25351.79
31662993,20350.93,25464.21
31672937,20384.42,25507.21
31682943,20413.87,25555.31
31692953,20443.43,25598.65
31703017,20468.83,25653.4
31712904,20494.13,25704.25
31722956,20521.77,25831.02
31733059,20546.1,25885.49
31742932,20571.54,25945.84
31752907,20594.07,26003.48
31762913,20617.63,26069.83
31772910,20634.73,26203.12
31782927,20640.25,26274.63
31792918,20648.54,26339.6
31802951,20668.99,26404.41
31812960,20687.08,26540.95
31822993,20707.13,26592.37
31832907,20729.19,26650.51
31843025,20754.91,26698.92
31852970,20778.21,26757.7
31862997,20803.62,26803.79
31872923,20827.17,26930.56
31882909,20856.2,26979.62
31892989,20884.4,27026.81
31902937,20914.7,27073.53
31912926,20948.64,27119.21
31922930,20979.28,27160.41
31932903,21013.21,27274.6
31942924,21050.6,27318.63
31952957,21086.3,27362.1
31962987,21119.93,27396.84
31974090,21159.96,27435.11
31982912,21188.04,27479.06
31992890,21224.11,27516.88
32002944,21256.93,27630.33
32012954,21289.9,27665.01
32023120,21325.8,27705.32
32032905,21358.08,27742.05
32042932,21402.67,27775.41
32053003,21438.31,27815.46
32062889,21478.54,27851.45
32073087,21514.44,27884.14
32082905,21553.56,27994.59
32092918,21589.74,28027.06
32102924,21628.13,28064.41
32113014,21662.14,28098.26
32122940,21698.66,28128.61
32133053,21731.63,28164.92
32142940,21777.34,28200.12
32152944,21813.68,28232.68
32162943,21850.02,28340.95
32172993,21889.81,28370.27
32183003,21927.9,28406.88
32192959,21969.84,28442.84
32202948,22007.92,28472.77
32212909,22049.35,28506.9
